coach_username,post_shortcode,post_type,likes,comments,timestamp,caption_length,has_cta,content_category,is_reel
gustavo_dipres,DMDP2nVOa1i,Sidecar,234,9,2025-07-13T14:07:40.000Z,665,False,testimonial,False
mecfitnessrd,DU_DjwAEck8,Video,241,56,2026-02-20T15:48:07.000Z,225,False,testimonial,False
andreiinapaez,DVE3qGMEYQW,Video,33,8,2026-02-22T22:02:30.000Z,850,False,workout,False
arielmv_coach,DCRRo5YuVcK,Image,9,3,2024-11-12T11:38:42.000Z,597,True,workout,False
gustavo_dipres,DNS42K5timP,Video,54,8,2025-08-13T12:29:06.000Z,703,False,nutrition,False
runners_hardtraining,DV13g-fkSfp,Video,164,10,2026-03-13T22:50:28.000Z,912,False,testimonial,False
arielmv_coach,Cw0rK8xPAHR,Image,31,0,2023-09-05T20:10:08.000Z,277,True,testimonial,False
arielmv_coach,DNf3UjHh6NF,Image,16,2,2025-08-18T13:22:41.000Z,258,False,testimonial,False
arielmv_coach,DUZD2aBgT62,Video,5,0,2026-02-05T21:37:55.000Z,56,False,testimonial,False
flacofit.rd,DUySwk1Cjew,Video,39,1,2026-02-15T16:48:41.000Z,34,False,lifestyle,False
flacofit.rd,DBZD1djuEGQ,Sidecar,-1,6,2024-10-21T15:40:56.000Z,285,False,testimonial,False
guntergil,DVv3K6Ojoqy,Image,16,0,2026-03-11T14:40:22.000Z,464,False,workout,False
arielmv_coach,DCdXdFftwLW,Image,13,1,2024-11-17T04:20:24.000Z,170,False,lifestyle,False
margarita_mendez2024,DU01XqajSFk,Video,84,0,2026-02-16T16:29:58.000Z,74,False,lifestyle,False
eddypilier,DVRcx3WCaVT,Video,226,14,2026-02-27T19:14:02.000Z,1091,False,workout,False
arielmv_coach,C92lR7COaKE,Image,28,4,2024-07-25T16:45:16.000Z,492,True,testimonial,False
eddypilier,DVgFKRcDkg6,Video,121,8,2026-03-05T11:37:09.000Z,318,False,workout,False
gustavo_dipres,DVyNJbBEVqd,Video,-1,23,2026-03-12T12:30:00.000Z,813,True,workout,False
margarita_mendez2024,DUJhj9jgOKR,Video,126,4,2026-01-30T20:51:09.000Z,62,False,lifestyle,False
eddypilier,DTfaT3AFcJC,Sidecar,508,33,2026-01-14T12:17:33.000Z,199,False,lifestyle,False
arielmv_coach,C7J9w9VOeTt,Video,7,0,2024-05-19T15:52:32.000Z,333,True,testimonial,False
top_nanasrdoficial,DV1JmsrkTQQ,Video,-1,28,2026-03-13T16:03:13.000Z,516,False,lifestyle,False
flacofit.rd,DBpdfbNOw6F,Sidecar,-1,1,2024-10-28T00:32:39.000Z,189,False,lifestyle,False
locurafitnessrd,DVxEImGjWb3,Video,33,0,2026-03-12T01:53:11.000Z,52,False,lifestyle,False
margarita_mendez2024,DTiZAqjDWfN,Video,130,2,2026-01-15T16:04:57.000Z,63,False,lifestyle,False
antonio.gomezportela,DVj3nTAgM8U,Video,195,127,2026-03-06T22:55:22.000Z,386,False,lifestyle,False
anthonypthebeast,DTiodMjiRbj,Video,100,7,2026-01-15T18:44:28.000Z,962,False,promotion,False
anthonypthebeast,DUHJuImCQBA,Video,16,0,2026-01-29T22:44:32.000Z,106,False,workout,False
sencillo_fit,DVMuGCIEnM5,Video,31,17,2026-02-25T23:16:33.000Z,34,False,lifestyle,False
sevillano_dra,DU3mhVHgY0e,Video,17,2,2026-02-17T18:22:48.000Z,211,False,lifestyle,False
antonio.gomezportela,DVqlJeBjtWo,Video,578,113,2026-03-09T13:28:17.000Z,246,False,lifestyle,False
gustavo_dipres,DVOB_tQjQTT,Video,-1,5,2026-02-26T11:22:21.000Z,234,False,workout,False
anthonypthebeast,DTv4M4biSuh,Video,350,128,2026-01-20T21:47:55.000Z,33,False,lifestyle,False
luisitofitnessreal,DVzM3FMj4yD,Video,261,3,2026-03-12T21:52:33.000Z,283,False,promotion,False
anthonypthebeast,DUeRFhliTCK,Sidecar,38,0,2026-02-07T22:09:06.000Z,69,False,lifestyle,False
arielmv_coach,C_38riiPH7-,Image,25,5,2024-09-13T22:31:46.000Z,453,False,promotion,False
antonio.gomezportela,DVwsDXYgPuz,Video,628,954,2026-03-11T22:24:12.000Z,45,False,lifestyle,False
antonio.gomezportela,DV1LOsXAPVV,Video,1292,624,2026-03-13T16:16:16.000Z,97,False,lifestyle,False
ingrannsel,DV4i1drjs9A,Video,9,2,2026-03-14T23:39:10.000Z,94,False,lifestyle,False
locurafitnessrd,DVx6kDIDZjU,Video,20,0,2026-03-12T09:48:45.000Z,26,False,lifestyle,False
